,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(8,)",[0.25987594 0.27756161 0.26618469 0.2677063  0.27065712],0.26839713203004384,"('micro_loans_active_100',)",0.0074297839722648465,0.005780624344603092,0.002890312172301546
2,"(8, 49)",[0.29104714 0.28843106 0.29049919 0.27758235 0.29551954],0.28861585667094564,"('micro_loans_active_100', 'is_active_type_micro_100')",0.00768796183813142,0.005981495495397946,0.0029907477476989724
3,"(2, 8, 49)",[0.28890306 0.30092445 0.28960155 0.28426073 0.29847909],0.292433777003153,"('time_to_lastcredit_closeddt', 'micro_loans_active_100', 'is_active_type_micro_100')",0.008045621787624095,0.0062597670869872545,0.003129883543493627
4,"(2, 8, 39, 49)",[0.28871893 0.29859335 0.29222258 0.2882825  0.29888   ],0.29333947348902256,"('time_to_lastcredit_closeddt', 'micro_loans_active_100', 'ratio_pattern_len_to_pattern_2', 'is_active_type_micro_100')",0.005931042266119624,0.004614552380040431,0.0023072761900202153
5,"(2, 8, 39, 49, 55)",[0.29163966 0.31319911 0.30598235 0.28300654 0.28968639],0.29670280797580706,"('time_to_lastcredit_closeddt', 'micro_loans_active_100', 'ratio_pattern_len_to_pattern_2', 'is_active_type_micro_100', 'is_active_type_micro_12')",0.014320368723000295,0.01114173337648657,0.005570866688243285
6,"(2, 8, 30, 39, 49, 55)",[0.3018746  0.31045542 0.30453492 0.27293806 0.30145867],0.2982523336586246,"('time_to_lastcredit_closeddt', 'micro_loans_active_100', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'is_active_type_micro_100', 'is_active_type_micro_12')",0.016783755060489982,0.013058331636383855,0.006529165818191927
7,"(2, 8, 30, 39, 49, 55, 65)",[0.30385488 0.30779137 0.30408971 0.27299703 0.30779221],0.2993050394036188,"('time_to_lastcredit_closeddt', 'micro_loans_active_100', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_active_type_credit_card_1')",0.017048938627597324,0.01326465346075072,0.00663232673037536
8,"(2, 8, 30, 39, 41, 49, 55, 65)",[0.30515063 0.31193838 0.30424761 0.27368421 0.3073439 ],0.30047294783499934,"('time_to_lastcredit_closeddt', 'micro_loans_active_100', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_4', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_active_type_credit_card_1')",0.017551930780518706,0.013655998444020177,0.006827999222010089
9,"(2, 8, 30, 39, 41, 49, 55, 62, 65)",[0.29977191 0.31528356 0.30099668 0.27524752 0.30639403],0.29953874120841645,"('time_to_lastcredit_closeddt', 'micro_loans_active_100', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_4', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_1', 'is_active_type_credit_card_1')",0.01712032120946593,0.013320191534545417,0.0066600957672727085
10,"(2, 8, 30, 39, 40, 41, 49, 55, 62, 65)",[0.30379747 0.31173829 0.3030504  0.27275737 0.30839002],0.29994670955942093,"('time_to_lastcredit_closeddt', 'micro_loans_active_100', 'ratio_history_1', 'ratio_pattern_len_to_pattern_2', 'ratio_pattern_len_to_pattern_3', 'ratio_pattern_len_to_pattern_4', 'is_active_type_micro_100', 'is_active_type_micro_12', 'is_type_credit_card_1', 'is_active_type_credit_card_1')",0.017939389421151846,0.013957454429676245,0.006978727214838122
